route[0]-trip[0] = 0 -> 1 -> 21 -> 23 -> 25 -> 28 -> 31 -> 30 -> 7 -> 33 -> 34 -> 32 -> 36 -> 38 -> 39 -> 40 -> 37 -> 35 -> 29 -> 27 -> 24 -> 19 -> 20 -> 17 -> 15 -> 13 -> 16 -> 18 -> 14 -> 26 -> 10 -> 12 -> 11 -> 9 -> 22 -> 0
route[1]-trip[0] = 0 -> 1 -> 50 -> 41 -> 45 -> 47 -> 46 -> 51 -> 48 -> 44 -> 43 -> 42 -> 49 -> 0
route[2]-trip[0] = 0 -> 1 -> 6 -> 3 -> 2 -> 8 -> 4 -> 5 -> 0
Obj: 360.20000000000005, run time = 321.918
p1 = 1, p2 = 21, cost = 10.0
p1 = 21, p2 = 23, cost = 2.8
p1 = 23, p2 = 25, cost = 3.6
p1 = 25, p2 = 28, cost = 2.8
p1 = 28, p2 = 31, cost = 4.2
p1 = 31, p2 = 30, cost = 5.0
p1 = 30, p2 = 7, cost = 8.9
p1 = 7, p2 = 33, cost = 6.3
p1 = 33, p2 = 34, cost = 2.0
p1 = 34, p2 = 32, cost = 5.3
p1 = 32, p2 = 36, cost = 5.0
p1 = 36, p2 = 38, cost = 5.8
p1 = 38, p2 = 39, cost = 2.0
p1 = 39, p2 = 40, cost = 5.0
p1 = 40, p2 = 37, cost = 5.0
p1 = 37, p2 = 35, cost = 3.0
p1 = 35, p2 = 29, cost = 10.7
p1 = 29, p2 = 27, cost = 8.0
p1 = 27, p2 = 24, cost = 7.2
p1 = 24, p2 = 19, cost = 9.0
p1 = 19, p2 = 20, cost = 5.0
p1 = 20, p2 = 17, cost = 7.0
p1 = 17, p2 = 15, cost = 2.0
p1 = 15, p2 = 13, cost = 3.0
p1 = 13, p2 = 16, cost = 7.0
p1 = 16, p2 = 18, cost = 5.3
p1 = 18, p2 = 14, cost = 4.0
p1 = 14, p2 = 26, cost = 9.0
p1 = 26, p2 = 10, cost = 7.2
p1 = 10, p2 = 12, cost = 7.0
p1 = 12, p2 = 11, cost = 3.0
p1 = 11, p2 = 9, cost = 6.0
p1 = 9, p2 = 22, cost = 5.6
p1 = 22, p2 = 0, cost = 11.6
p1 = 1, p2 = 50, cost = 31.0
p1 = 50, p2 = 41, cost = 12.1
p1 = 41, p2 = 45, cost = 4.4
p1 = 45, p2 = 47, cost = 5.3
p1 = 47, p2 = 46, cost = 6.4
p1 = 46, p2 = 51, cost = 4.4
p1 = 51, p2 = 48, cost = 5.0
p1 = 48, p2 = 44, cost = 3.0
p1 = 44, p2 = 43, cost = 3.0
p1 = 43, p2 = 42, cost = 2.0
p1 = 42, p2 = 49, cost = 8.0
p1 = 49, p2 = 0, cost = 10.7
p1 = 1, p2 = 6, cost = 15.1
p1 = 6, p2 = 3, cost = 5.8
p1 = 3, p2 = 2, cost = 8.6
p1 = 2, p2 = 8, cost = 7.8
p1 = 8, p2 = 4, cost = 4.1
p1 = 4, p2 = 5, cost = 3.6
p1 = 5, p2 = 0, cost = 25.6

